age;traveltime;absences;G1;G2;G3;Medu;Fedu;studytime;failures;famrel;freetime;goout;Dalc;Walc;health;school_GP;school_MS;sex_F;sex_M;address_R;address_U;famsize_GT3;famsize_LE3;Pstatus_A;Pstatus_T;Mjob_at_home;Mjob_health;Mjob_other;Mjob_services;Mjob_teacher;Fjob_at_home;Fjob_health;Fjob_other;Fjob_services;Fjob_teacher;reason_course;reason_home;reason_other;reason_reputation;guardian_father;guardian_mother;guardian_other;schoolsup_no;schoolsup_yes;famsup_no;famsup_yes;paid_no;paid_yes;activities_no;activities_yes;nursery_no;nursery_yes;higher_no;higher_yes;internet_no;internet_yes;romantic_no;romantic_yes
18.0;2.0;6.0;5.0;6.0;6.0;3;4;1;0;3;2;4;0;0;2;True;False;True;False;False;True;True;False;True;False;True;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;False;True;False;True;False;True;False;True;False;False;True;False;True;False;True;True;False
17.0;1.0;4.0;5.0;5.0;6.0;1;1;1;0;5;2;2;0;0;2;True;False;True;False;False;True;True;False;False;True;True;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;True;True;False;True;False;True;False;False;True;False;True;True;False
15.0;1.0;10.0;7.0;8.0;10.0;1;1;1;3;4;2;1;2;2;2;True;False;True;False;False;True;False;True;False;True;True;False;False;False;False;False;False;True;False;False;False;False;True;False;False;True;False;False;True;True;False;False;True;True;False;False;True;False;True;False;True;True;False
15.0;1.0;2.0;15.0;14.0;15.0;5;2;2;0;2;1;1;0;0;5;True;False;True;False;False;True;True;False;False;True;False;True;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;True;False;False;True;False;True;False;True;False;True;False;True;False;True;False;True
16.0;1.0;4.0;6.0;10.0;10.0;4;3;1;0;4;2;1;0;1;5;True;False;True;False;False;True;True;False;False;True;False;False;True;False;False;False;False;True;False;False;False;True;False;False;True;False;False;True;False;False;True;False;True;True;False;False;True;False;True;True;False;True;False
16.0;1.0;10.0;15.0;15.0;15.0;5;3;1;0;5;4;1;0;1;5;True;False;False;True;False;True;False;True;False;True;False;False;False;True;False;False;False;True;False;False;False;False;False;True;False;True;False;True;False;False;True;False;True;False;True;False;True;False;True;False;True;True;False
16.0;1.0;0.0;12.0;12.0;11.0;2;2;1;0;4;4;4;0;0;2;True;False;False;True;False;True;False;True;False;True;False;False;True;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;True;False;True;False;True;False;False;True;False;True;False;True;True;False
17.0;2.0;6.0;6.0;5.0;6.0;3;4;1;0;4;0;4;0;0;3;True;False;True;False;False;True;True;False;True;False;False;False;True;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;True;False;True;True;False;True;False;False;True;False;True;True;False;True;False
15.0;1.0;0.0;16.0;18.0;19.0;3;2;1;0;4;1;1;0;0;0;True;False;False;True;False;True;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;True;False;True;True;False;False;True;False;True;False;True;True;False
15.0;1.0;0.0;14.0;15.0;15.0;4;4;1;0;5;5;0;0;0;5;True;False;False;True;False;True;True;False;False;True;False;False;True;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;True;False;True;False;True;False;True;False;True;False;True;True;False
15.0;1.0;0.0;10.0;8.0;9.0;5;4;1;0;2;2;2;0;1;1;True;False;True;False;False;True;True;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;True;False;False;True;False;True;True;False;False;True;False;True;False;True;True;False
15.0;3.0;4.0;10.0;12.0;12.0;2;1;2;0;5;1;1;0;0;4;True;False;True;False;False;True;True;False;False;True;False;False;False;True;False;False;False;True;False;False;False;False;False;True;True;False;False;True;False;False;True;True;False;False;True;False;True;False;True;False;True;True;False
15.0;1.0;2.0;14.0;14.0;14.0;5;4;0;0;4;2;2;0;3;5;True;False;False;True;False;True;False;True;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;True;False;False;True;False;True;False;True;False;True;False;True;False;True;True;False
15.0;2.0;2.0;10.0;10.0;11.0;5;3;1;0;5;4;2;0;2;2;True;False;False;True;False;True;True;False;False;True;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;True;False;True;False;False;True;False;True;True;False;False;True;False;True;False;True;True;False
15.0;1.0;0.0;14.0;16.0;16.0;2;2;2;0;4;5;1;0;0;2;True;False;False;True;False;True;True;False;True;False;False;False;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;True;False;False;True;True;False;True;False;False;True;False;True;False;True;False;True
16.0;1.0;4.0;14.0;14.0;14.0;5;4;0;0;4;4;4;0;1;1;True;False;True;False;False;True;True;False;False;True;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;True;True;False;True;False;False;True;False;True;False;True;True;False
